title,ger_url,grr_url,ger_confidence,grr_confidence,ger_source,grr_source,ger_gpc_id,grr_gpc_id
Diagnóstico y tratamiento de la fisura anal en el adulto,http://www.cenetec-difusion.com/CMGPC/SS-213-09/ER.pdf,http://www.cenetec-difusion.com/CMGPC/SS-213-09/RR.pdf,95.0,100.00000953674318,Inferred_From_Pair,Google+OCR+AI,SS-213-09,SS-213-09
Diagnóstico y reparación de la hernia umbilical,,https://www.imss.gob.mx/sites/all/statics/guiasclinicas/068GRR.pdf,0.0,99.99999046325685,,Google+OCR+AI,,068
Diagnóstico y tratamiento de la hernia ventral en el adulto,https://www.cenetec-difusion.com/CMGPC/SS-211-09/ER.pdf,https://www.cenetec-difusion.com/CMGPC/SS-211-09/RR.pdf,95.0,97.32060432434082,Inferred_From_Pair,Google+OCR+AI,SS-211-09,SS-211-09
Diagnóstico y tratamiento de las hernias inguinales y femorales,https://www.cenetec-difusion.com/CMGPC/SS-015-08/ER.pdf,https://www.cenetec-difusion.com/CMGPC/SS-015-08/RR.pdf,95.0,99.85076427459718,Inferred_From_Pair,Google+OCR+AI,SS-015-08,SS-015-08
Diagnóstico y tratamiento de la enfermedad arterial periférica de miembros inferiores,http://www.cenetec-difusion.com/CMGPC/IMSS-007-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-007-08/RR.pdf,95.0,100.0,Inferred_From_Pair,CENETEC_Priority,IMSS-007-08,IMSS-007-08
Insuficiencia venosa crónica,http://cenetec-difusion.com/CMGPC/IMSS-175-09/ER.pdf,http://cenetec-difusion.com/CMGPC/IMSS-175-09/RR.pdf,95.0,98.3600664138794,Inferred_From_Pair,CENETEC_Priority,IMSS-175-09,IMSS-175-09
Tratamiento quirúrgico del infarto e isquemia intestinal en el segundo y tercer nivel de atención,http://www.cenetec-difusion.com/CMGPC/ISSSTE-358-10/ER.pdf,http://www.cenetec-difusion.com/CMGPC/ISSSTE-358-10/RR.pdf,95.0,99.99999523162842,Inferred_From_Pair,Google+OCR+AI,ISSSTE-358-10,ISSSTE-358-10
Diagnóstico y tratamiento médico y quirúrgico del vólvulo en el adulto,http://www.cenetec-difusion.com/CMGPC/SS-209-09/ER.pdf,http://www.cenetec-difusion.com/CMGPC/SS-209-09/RR.pdf,95.0,83.01800251007081,Inferred_From_Pair,Google+OCR+AI,SS-209-09,SS-209-09
Detección oportuna y diagnóstico de cáncer de colon y recto no hereditario en adultos,https://www.cenetec-difusion.com/CMGPC/IMSS-145-08/ER.pdf,https://www.cenetec-difusion.com/CMGPC/IMSS-145-08/RR.pdf,95.0,98.7302875518799,Inferred_From_Pair,Google+OCR+AI,IMSS-145-08,IMSS-145-08
Diagnóstico y tratamiento del hepatoblastoma,https://www.cenetec-difusion.com/CMGPC/SS-287-10/ER.pdf,,100.0,0.0,CENETEC_Priority,,SS-287-10,
Diagnóstico y tratamiento del hepatocarcinoma,http://cenetec-difusion.com/CMGPC/SS-582-12/ER.pdf,http://cenetec-difusion.com/CMGPC/SS-582-12/RR.pdf,95.0,99.83386993408203,Inferred_From_Pair,CENETEC_Priority,SS-582-12,SS-582-12
Tratamiento nutricional del paciente pretrasplante hepático,https://www.imss.gob.mx/sites/all/statics/guiasclinicas/594GER.pdf,https://www.imss.gob.mx/sites/all/statics/guiasclinicas/594GRR.pdf,95.0,86.64685726165773,Inferred_From_Pair,Google+OCR+AI,594,594
Diagnóstico y tratamiento de adenocarcinoma de páncreas,http://www.cenetec-difusion.com/CMGPC/IMSS-324-10/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-324-10/RR.pdf,95.0,99.96035575866699,Inferred_From_Pair,CENETEC_Priority,IMSS-324-10,IMSS-324-10
Diagnóstico y tratamiento pancreatitis aguda,http://cenetec-difusion.com/CMGPC/IMSS-239-09/ER.pdf,http://cenetec-difusion.com/CMGPC/IMSS-239-09/RR.pdf,95.0,99.94036674499512,Inferred_From_Pair,Google+OCR+AI,IMSS-239-09,IMSS-239-09
Diagnóstico y tratamiento de las mordeduras de serpientes venenosas,http://www.cenetec-difusion.com/CMGPC/SS-298-10/ER.pdf,http://www.cenetec-difusion.com/CMGPC/SS-298-10/RR.pdf,95.0,89.64003562927248,Inferred_From_Pair,Google+OCR+AI,SS-298-10,SS-298-10
Diagnóstico y tratamiento de mordedura por arañas venenosas,,http://www.cenetec-difusion.com/CMGPC/SS-523-11/RR.pdf,0.0,86.34549140930177,,Google+OCR+AI,,SS-523-11
"Prevención, diagnóstico, tratamiento y referencia de la intoxicación por picadura de alacrán",http://www.cenetec-difusion.com/CMGPC/SS-148-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/SS-148-08/RR.pdf,95.0,100.0,Inferred_From_Pair,Google+OCR+AI,SS-148-08,SS-148-08
"Prevención, diagnóstico y tratamiento de quemaduras en niños y adolescentes",https://www.imss.gob.mx/sites/all/statics/guiasclinicas/187GER.pdf,https://www.imss.gob.mx/sites/all/statics/guiasclinicas/187GRR.pdf,91.36363636363636,91.36363636363636,IMSS_Cache,IMSS_Cache,187,187
Diagnóstico y tratamiento del traumatismo de tórax en adultos,https://www.cenetec-difusion.com/CMGPC/SS-447-11/ER.pdf,https://www.cenetec-difusion.com/CMGPC/SS-447-11/RR.pdf,95.0,99.99999046325685,Inferred_From_Pair,Google+OCR+AI,SS-447-11,SS-447-11
Diagnóstico y tratamiento inicial del traumatismo craneoencefálico en pacientes menores de 18 años,http://www.cenetec-difusion.com/CMGPC/SS-002-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/SS-002-08/RR.pdf,95.0,99.77370262145998,Inferred_From_Pair,Google+OCR+AI,SS-002-08,SS-002-08
Vértigo postural paroxístico benigno,http://www.cenetec-difusion.com/CMGPC/IMSS-410-10/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-410-10/RR.pdf,95.0,97.57877826690675,Inferred_From_Pair,Google+OCR+AI,IMSS-410-10,IMSS-410-10
Hipoacusia súbita,http://www.cenetec-difusion.com/CMGPC/IMSS-416-10/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-416-10/RR.pdf,95.0,87.43685722351076,Inferred_From_Pair,CENETEC_Priority,IMSS-416-10,IMSS-416-10
Diagnóstico y tratamiento del adulto con parálisis de Bell en el primer y segundo nivel de atención,http://www.cenetec-difusion.com/CMGPC/IMSS-066-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-066-08/RR.pdf,95.0,99.99999523162842,Inferred_From_Pair,CENETEC_Priority,IMSS-066-08,IMSS-066-08
